title,abstract,applicant,ipc,date
フレキシブルディスプレイ,量子ドットを用いた発光デバイスであって、インクジェット印刷による精密パターニングにより色再現性に優れた表示を可能にする。,シャープ株式会社,C09K 11/02; H10K 50/10; H01L 33/00,2022-09-23
発光素子の製造方法,有機エレクトロルミネッセンス表示装置に関する。インクジェット印刷による精密パターニングにより、高輝度かつ長寿命のディスプレイを実現する。,LG Display;BOE Technology,H10K 50/10,2023-03-14
フレキシブル発光デバイス,量子ドットを用いたディスプレイであって、量子ドットのサイズ均一性向上により色再現性に優れた表示を可能にする。,LG Display;サムスン電子,G09G 3/32; H10K 71/00,2024-04-10
医用画像の予測システム,医用画像の予測に関する。畳み込みニューラルネットワークを用いて超音波画像から肺結節を高精度で検出する。Attention機構の導入により,東京大学,A61B 6/03; G06N 3/08,2019-12-17
CT画像の自動予測方法,医用画像の診断支援に関する。畳み込みニューラルネットワークを用いて内視鏡画像から網膜病変を高精度で検出する。転移学習により,国立がん研究センター;オリンパス株式会社,A61B 5/00,2022-04-26
ミリ波レーダーを用いた物体認識装置,車両の障害物検出装置であって、トランスフォーマーモデルを用いて周囲環境を認識し、安全な走行を支援する。,デンソー株式会社;Waymo,G05D 1/02,2023-10-20
自動運転車両の速度制御装置,ミリ波レーダーとカメラの融合データに基づく合流制御方法に関する。マルチモーダル融合により認識精度を向上させる。,Mobileye;Waymo,G06N 3/08; G06V 20/58; B60W 60/00,2019-08-04
解重合可能なポリアミドの合成,バイオマス原料から得られる高分子材料の合成方法に関する。触媒反応の選択性向上により環境負荷の低い材料を提供する。,帝人株式会社,C08J 11/10; B29B 17/00,2023-09-17
太陽電池モジュール,シリコン太陽電池とペロブスカイト太陽電池のタンデム構造に関する。中間層の最適化により大面積モジュール化を達成する。,Oxford PV;カネカ,H01L 31/0725,2019-01-28
自動運転制御システム,自動運転レベル5に対応する安全システムに関する。ミリ波レーダーデータをトランスフォーマーモデルで処理し、リアルタイムの経路計画を実現する。,トヨタ自動車株式会社;NVIDIA,G08G 1/16; G05D 1/02; G06V 20/58,2024-03-16
医療診断支援装置,CT画像における肺結節の自動予測システムに関する。YOLOを採用し、リアルタイム処理を実現する。,東京大学;GEヘルスケア,G16H 30/40; G06N 3/08; G06T 7/00,2023-05-13
